Position,Author Name,Review Title
1,Stas K.,Quite good
2,Evdokia B.,Everything is fine
3,Serhienko L.,"Product received, everything as in the photo, will add after use"
4,Yurii K.,"Everything is fine, thank you"
5,Olha V.,Small size
6,Olena K.,"Good quality, thank you"
7,Ruslan P.,Excellent
8,Anna B.,Price-quality
9,Oleksandr H.,Everything is OK
10,Oleksandr I.,Good
11,Tetyana N.,"For such a price, not even bad quality"
12,Oksana P.,Capsules for laundry
13,Yana S.,"Super, capsules, clean and smells good"
14,Alla M.,Good
15,Nina Sh.,Super
16,Serhii L.,"Good, I recommend"
17,Yehor P.,Everything is great. Thank you.
18,Volodymyr S.,Super
19,Oksana b.,Capsules are very cool. I recommend
20,Serhii Z.,"The product is good, but the service is not"
21,Hennadii S.,I am satisfied
22,Angela P.,"Liked them, wash well"
23,Yulia S.,Thank you
24,Myroslava H.,Recommend
25,Nadiia S.,Excellent 👍🏻
26,Havrylenko V.,Everything is excellent
27,Daniil P.,Excellent
28,Lyudmyla S.,Good
29,Yurii r.,Very good
30,Natalia D.,Excellent
31,Oleksandr M.,Excellent
32,Yulia D.,Satisfied with the order
33,Oleh V.,Quality product
34,Olena S.,Satisfied
35,Hanna h.,Excellent
36,Aleksei,Everything is OK
37,Evhenii Z.,Good quality
38,Denys N.,Excellent
39,Hrisha M.,The product matches the price
40,Vasyl L.,Excellent
41,Oksana B.,Super
42,Vita H.,Recommend
43,Customer,Capsules for washing
44,Vitalia B.,Super capsules
45,Oleksandr V.,Good price
46,Oksana K.,Super
47,Yulia S.,Excellent capsules
48,Anton P.,Super
49,Svitlana Z.,Very good washing powder
50,Ivan S.,Nice scent
